REF_DATE,GEO,Products_and_product_groups,VALUE,Percent_Change
Jul-06,Alberta,All-items,113.4,
Jul-06,Alberta,Food,108.3,
Jul-06,Alberta,Shelter,126.1,
Jul-06,Alberta,"Household operations, furnishings and equipment",102.6,
Jul-06,Alberta,Clothing and footwear,96.2,
Jul-06,Alberta,Transportation,120.8,
Jul-06,Alberta,Health and personal care,105.9,
Jul-06,Alberta,"Recreation, education and reading",104,
Jul-06,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",115.9,
Jul-06,Alberta,Energy,154.3,
Aug-06,Alberta,All-items,113.9,
Aug-06,Alberta,Food,108.5,
Aug-06,Alberta,Shelter,126.3,
Aug-06,Alberta,"Household operations, furnishings and equipment",103,
Aug-06,Alberta,Clothing and footwear,98.6,
Aug-06,Alberta,Transportation,121.6,
Aug-06,Alberta,Health and personal care,106.5,
Aug-06,Alberta,"Recreation, education and reading",103.7,
Aug-06,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",116.3,
Aug-06,Alberta,Energy,154.1,
Sep-06,Alberta,All-items,114.1,
Sep-06,Alberta,Food,109,
Sep-06,Alberta,Shelter,131.2,
Sep-06,Alberta,"Household operations, furnishings and equipment",103.7,
Sep-06,Alberta,Clothing and footwear,101.9,
Sep-06,Alberta,Transportation,115.3,
Sep-06,Alberta,Health and personal care,107,
Sep-06,Alberta,"Recreation, education and reading",102.8,
Sep-06,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",116.5,
Sep-06,Alberta,Energy,145.6,
Oct-06,Alberta,All-items,113,
Oct-06,Alberta,Food,109.2,
Oct-06,Alberta,Shelter,129.7,
Oct-06,Alberta,"Household operations, furnishings and equipment",102.9,
Oct-06,Alberta,Clothing and footwear,100.9,
Oct-06,Alberta,Transportation,113.3,
Oct-06,Alberta,Health and personal care,106.8,
Oct-06,Alberta,"Recreation, education and reading",101.4,
Oct-06,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",116.8,
Oct-06,Alberta,Energy,131,
Nov-06,Alberta,All-items,113.7,
Nov-06,Alberta,Food,109.8,
Nov-06,Alberta,Shelter,131.8,
Nov-06,Alberta,"Household operations, furnishings and equipment",103,
Nov-06,Alberta,Clothing and footwear,100.9,
Nov-06,Alberta,Transportation,113.8,
Nov-06,Alberta,Health and personal care,107.5,
Nov-06,Alberta,"Recreation, education and reading",101,
Nov-06,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",117.5,
Nov-06,Alberta,Energy,135.2,
Dec-06,Alberta,All-items,114.2,
Dec-06,Alberta,Food,110.1,
Dec-06,Alberta,Shelter,133.6,
Dec-06,Alberta,"Household operations, furnishings and equipment",102.9,
Dec-06,Alberta,Clothing and footwear,97,
Dec-06,Alberta,Transportation,114.7,
Dec-06,Alberta,Health and personal care,107,
Dec-06,Alberta,"Recreation, education and reading",101,
Dec-06,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",118.7,
Dec-06,Alberta,Energy,139.3,
Jan-07,Alberta,All-items,114.7,
Jan-07,Alberta,Food,110.7,
Jan-07,Alberta,Shelter,134.3,
Jan-07,Alberta,"Household operations, furnishings and equipment",103.2,
Jan-07,Alberta,Clothing and footwear,98.1,
Jan-07,Alberta,Transportation,114.9,
Jan-07,Alberta,Health and personal care,107.2,
Jan-07,Alberta,"Recreation, education and reading",101.2,
Jan-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",119.6,
Jan-07,Alberta,Energy,141.1,
Feb-07,Alberta,All-items,115,
Feb-07,Alberta,Food,111.6,
Feb-07,Alberta,Shelter,133.8,
Feb-07,Alberta,"Household operations, furnishings and equipment",104,
Feb-07,Alberta,Clothing and footwear,99.6,
Feb-07,Alberta,Transportation,115.2,
Feb-07,Alberta,Health and personal care,107.8,
Feb-07,Alberta,"Recreation, education and reading",101.9,
Feb-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",119.5,
Feb-07,Alberta,Energy,137.4,
Mar-07,Alberta,All-items,116.4,
Mar-07,Alberta,Food,111.4,
Mar-07,Alberta,Shelter,135.8,
Mar-07,Alberta,"Household operations, furnishings and equipment",103.7,
Mar-07,Alberta,Clothing and footwear,101.8,
Mar-07,Alberta,Transportation,119,
Mar-07,Alberta,Health and personal care,107.2,
Mar-07,Alberta,"Recreation, education and reading",102.2,
Mar-07,Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",119.7,
Mar-07,Alberta,Energy,149.8,
Apr-07,Alberta,All-items,117.5,
Apr-07,Alberta,Food,112,
Apr-07,Alberta,Shelter,138,
