AtomicNumber,Element,Symbol,AtomicMass,NumberofElectrons
1,Hydrogen,H,1.007,1
2,Helium,He,4.002,2
3,Lithium,Li,6.941,3
4,Beryllium,Be,9.012,4
5,Boron,B,10.811,5
6,Carbon,C,12.011,6
7,Nitrogen,N,14.007,7
8,Oxygen,O,15.999,8
9,Fluorine,F,18.998,9
10,Neon,Ne,20.18,10
11,Sodium,Na,22.99,11
12,Magnesium,Mg,24.305,12
13,Aluminum,Al,26.982,13
14,Silicon,Si,28.086,14
15,Phosphorus,P,30.974,15
16,Sulfur,S,32.065,16
17,Chlorine,Cl,35.453,17
18,Argon,Ar,39.948,18
19,Potassium,K,39.098,19
20,Calcium,Ca,40.078,20
21,Scandium,Sc,44.956,21
22,Titanium,Ti,47.867,22
23,Vanadium,V,50.942,23
24,Chromium,Cr,51.996,24
25,Manganese,Mn,54.938,25
26,Iron,Fe,55.845,26
27,Cobalt,Co,58.933,27
28,Nickel,Ni,58.693,28
29,Copper,Cu,63.546,29
30,Zinc,Zn,65.38,30
31,Gallium,Ga,69.723,31
32,Germanium,Ge,72.64,32
33,Arsenic,As,74.922,33
34,Selenium,Se,78.96,34
35,Bromine,Br,79.904,35
36,Krypton,Kr,83.798,36
37,Rubidium,Rb,85.468,37
38,Strontium,Sr,87.62,38
39,Yttrium,Y,88.906,39
40,Zirconium,Zr,91.224,40
41,Niobium,Nb,92.906,41
42,Molybdenum,Mo,95.96,42
43,Technetium,Tc,98,43
44,Ruthenium,Ru,101.07,44
45,Rhodium,Rh,102.906,45
46,Palladium,Pd,106.42,46
47,Silver,Ag,107.868,47
48,Cadmium,Cd,112.411,48
49,Indium,In,114.818,49
50,Tin,Sn,118.71,50
51,Antimony,Sb,121.76,51
52,Tellurium,Te,127.6,52
53,Iodine,I,126.904,53
54,Xenon,Xe,131.293,54
55,Cesium,Cs,132.905,55
56,Barium,Ba,137.327,56
57,Lanthanum,La,138.905,57
58,Cerium,Ce,140.116,58
59,Praseodymium,Pr,140.908,59
60,Neodymium,Nd,144.242,60
61,Promethium,Pm,145,61
62,Samarium,Sm,150.36,62
63,Europium,Eu,151.964,63
64,Gadolinium,Gd,157.25,64
65,Terbium,Tb,158.925,65
66,Dysprosium,Dy,162.5,66
67,Holmium,Ho,164.93,67
68,Erbium,Er,167.259,68
69,Thulium,Tm,168.934,69
70,Ytterbium,Yb,173.054,70
71,Lutetium,Lu,174.967,71
72,Hafnium,Hf,178.49,72
73,Tantalum,Ta,180.948,73
74,Wolfram,W,183.84,74
75,Rhenium,Re,186.207,75
76,Osmium,Os,190.23,76
77,Iridium,Ir,192.217,77
78,Platinum,Pt,195.084,78
79,Gold,Au,196.967,79
80,Mercury,Hg,200.59,80
81,Thallium,Tl,204.383,81
82,Lead,Pb,207.2,82
83,Bismuth,Bi,208.98,83
84,Polonium,Po,210,84
85,Astatine,At,210,85
86,Radon,Rn,222,86
87,Francium,Fr,223,87
88,Radium,Ra,226,88
89,Actinium,Ac,227,89
90,Thorium,Th,232.038,90
91,Protactinium,Pa,231.036,91
92,Uranium,U,238.029,92
93,Neptunium,Np,237,93
94,Plutonium,Pu,244,94
95,Americium,Am,243,95
96,Curium,Cm,247,96
97,Berkelium,Bk,247,97
98,Californium,Cf,251,98
99,Einsteinium,Es,252,99
100,Fermium,Fm,257,100
101,Mendelevium,Md,258,101
102,Nobelium,No,259,102
103,Lawrencium,Lr,262,103
104,Rutherfordium,Rf,261,104
105,Dubnium,Db,262,105
106,Seaborgium,Sg,266,106
107,Bohrium,Bh,264,107
108,Hassium,Hs,267,108
109,Meitnerium,Mt,268,109
110,Darmstadtium ,Ds ,271,110
111,Roentgenium ,Rg ,272,111
112,Copernicium ,Cn ,285,112
113,Nihonium,Nh,284,113
114,Flerovium,Fl,289,114
115,Moscovium,Mc,288,115
116,Livermorium,Lv,292,116
117,Tennessine,Ts,295,117
118,Oganesson,Og,294,118
